title,score,comment,writer,date
신과함께-인과 연,1,,imrk****,21.10.15
신과함께-인과 연,2,"제가 본 한국영화중 최악이네요. 이건 뭐 SF여, 액션이여. 이저저도 아닌 중간에 붕뜬 초등학생들이 볼만한 영화지, 성인이 보기엔 정말 욕나올정도로 턱없이 부족하네요. 극중 대사중 여기가 지옥이지 사람살데냐???? 장난하니! 그따위 쳐말하는 주제에 미국인이 한국와서 살고 있노! 여기가 지옥이면 그럼 시리아는 지상천국이냐?? 저런 말도 안되는 개코메디 대사 보면서 정말 욕이 절로 나오더라구요. 스토리나 극중대사나 맘에 드는게 단 하나도 없었습니다.  어떻게 저 돈으로 저따위밖에 못만드는지 영화 망한거 같네요. 이 영화가 얼마나 단순하냐면 니가죽였냐, 안죽였냐로 하루종일 저걸로 영화를 이끌어갑니다. 정말 영화가 단순해도 너무단순하고 토나오더라구요. 영화객 평균나이가 초등학생인가! 소재나 주제도 너무 허황되고 말도 안되서 공감이 코딱지만큼도 안되더라구요. TV로 공짜로 보길 다행이지, 극장가서 봤으면 그자리서 박차고 일어나 환불신청하고 집에 갔을꺼에요. 공짜로봤으면 그나마 다행이지 극장안가서 보길 천만다행이더라구요. 저걸 내돈주고 봤다고 생각하면 정말 끔찍할 정도에요. 어쨋든, 내가 본 한국영화중 최악의 하나였습니다. 스토리 뿐만이 아니라 모든게 not good 이었어요. 한국영화는 언제쯤이나 발전할지 참으로 답답하기만 했네요. ",yust****,21.10.10
신과함께-인과 연,10,현동이 너무 귀여워서 10점 ,wind****,21.10.10
신과함께-인과 연,10,진짜 눈물 겨우 참아가며 봤던 기억이.. ,whit****,21.10.09
신과함께-인과 연,10,진짜 너무 재미있다 수홍이 때문에 엄청 웃음 ,inde****,21.10.06
신과함께-인과 연,10,아니 1편보다 별로라고 해서 기대 안했는데 ..진짜 존잼인데요…??? 너무 재밌음 ㅠㅠ 스토리 구성이 지루할 틈도 없고 배우들도 너무 멋있고 .. ,eric****,21.10.02
신과함께-인과 연,10,1편은 눈물 흘리면서 봤는데 인과 연은 보면서 계속 웃었어요. 해원맥이 되게 재미있는 행동을 많이 해줬는데 덕분에 더 재밌게 봤습니다!! 강추드려요~ ,txt_****,21.09.23
신과함께-인과 연,8,이 영화를 2번째 봤는데도 난 나름 재밌게 봤다 ,cmy0****,21.09.21
신과함께-인과 연,1,짱깨 미화와 좌파 사상으로 떡칠된 구태의연+진부+신파투성이 한국식 방화. 나라(고려)를 지킨 군인은 질투심과 자격지심에 눈이 먼 악당으로 묘사하고 굳이 착하고 선량하게 연출한 짱깨 난민을 구하기 위해 나라를 배신한 짱깨 (여진족)는 정많고 정의로운 영웅으로 묘사한 짱깨 찬양 미화 선동영화. 어디서 듣도 보도 못한 짱깨 난민을 입양해와서 아들이랍시고 대놓고 차별대우하는 정신병자같은 애비 때문에 빌런처럼 살수 밖에 없게 만들어 놓고 끝까지 그 인물을 용서받지 못한 빌런으로 묘사한 좌파pc 영화. 그리고 여느 한국영화와 같이 가난하고 못배운 사람들은 정의롭고 정많고 선량한 사람들이고 가진 거 많고 많이 배운 사람들은 악한 악당들이라는 전형적인 좌파식 사상을 주입시키고 정당화시키는 좌파영화. ,blue****,21.09.19
신과함께-인과 연,7,영화에 대해 잘 모르는 사람이 단순 재미도만으로 주는 평점입니다 ,fewn****,21.09.16
신과함께-인과 연,10,감동과 재미 두마리 토끼를 잡은 영화 ^^ 너무 재밌어요 ,june****,21.09.11
신과함께-인과 연,10,3편 언제 나와요? 도경수 언제 나와요? 원일병 너무 궁금하잖아. 관심병사연기 진짜 잘하네. ,hanw****,21.09.10
신과함께-인과 연,10,남녀노소 다 같이 보기좋게 만들어서 그렇지 1편과는 좀 다른 깊이가 있었음. ,choi****,21.09.06
신과함께-인과 연,10,1편도 넘 재밌게 봤는데 2편도 역시 재밌어요! ,chos****,21.09.05
신과함께-인과 연,10,난 죄와 벌 보고  마지막에 엄청 울었는데 인과 연은 눈 물이 안나옴 왜지? ,deni****,21.09.03
신과함께-인과 연,3,"솔직히 이 영화가 1000만을 넘긴 것 자체가 말이 안된다 스토리 자체가 너무 조잡스럽고 1편과 마찬가지로 억지로 감동을 짜내는 듯한 느낌이 든다 배우들의 연기, 촬영 기법이나 CG등의 영상미를 제외하고 스토리 전개만을 본다면 이 영화는 7광구 못지 않은 졸작이다 ",tjfg****,21.08.20
신과함께-인과 연,10,OO들 ㅋㅋ 영화를 평점맥이려고 보는 애들아 그냥 있는 그대로 즐겨라 ㅋ ,hsw9****,21.08.17
신과함께-인과 연,4,"그냥 그런 영화였당 정서를 자극할만한 울림이 있거나,,,치밀하게 짜여진 스토리라인로 드러난 반전! 그를 통한 감정의 극대화 같은것도 없다ㅠ일단 차태현의 연기가 배우의 실제 성격처럼 부정적이거나 슬픈 감정은 잘 드러나지 않아서 몰입이 잘 안됐고ㅠㅠ저승사자 캐릭터들은 뭔가 유쾌하고 여유롭다가도 시니컬한 모습을 보이고 싶었나본데 그냥 그랬다..특히 차태현을 중심으로 과거사를 돌이켜볼때 그 소재가 많이 진부해서 내가 지금 뭘보고 있는걸까...정말 이 영화를 수백만명이 본 영화라고? 생각했다###한줄요약: 2편도 볼랬는데 보고나니 여기까지만 봐도 되겠다 ",wndm****,21.08.12
신과함께-인과 연,1,신파.. 그만해.. ,stty****,21.08.11
신과함께-인과 연,10,이생과 저생에 대한 인과 연이 좋았어요 ,dado****,21.08.06
신과함께-인과 연,1,,loui****,21.08.04
신과함께-인과 연,1,이런게 천만관객?? 수준진짜.. ,phs3****,21.07.27
신과함께-인과 연,10,배우캐스팅을 너무 잘한듯 ,iren****,21.07.25
신과함께-인과 연,6,우리주위에서 흔히 일어나는 일들을 영화에 잘 녹여낸것 같다특히 아무 죄없는 사람들이 피해를 보는것 ,hoye****,21.07.11
신과함께-인과 연,10,나는 너~~~무 재밌다. ,hmhl****,21.07.10
신과함께-인과 연,10,염라도 주식은 거른다고ㅋㅋㅋㅋ ,mike****,21.07.10
신과함께-인과 연,2,1편에 비하면 희대의망작왜케억지스럽지.. ,lees****,21.07.09
신과함께-인과 연,10,신과함께 3.4 나왔으면 좋겠어요 개인적으로 너무 재밌게 봤고 감동이었어요 ,akfd****,21.06.20
신과함께-인과 연,10,재밌는데 어쩔겨 ㅋ 밤에 봐서 잠왔는데 다보고 잤음 ,junh****,21.06.09
신과함께-인과 연,6,풀어 헤쳐놓은 스토리가 너무 많아서 쫓아가기 바빴어요. 그러다보니까 인물의 감정선을 전혀 느낄 수 없었습니다. 시원하게 전래동화 한 편 본 느낌이에요. 솔직히 이상한 부분이 한 두개가 아니에요..다만 연기는 정말 훌륭했어요. ,go53****,21.06.08
신과함께-인과 연,10,요즘에야봤는데 마동석의 대사에 웃기면서도 슬펐다는... 1편보다 훨씬 재밌게봤어요. ,muze****,21.05.23
신과함께-인과 연,10,,haeu****,21.05.19
신과함께-인과 연,2,연출은 좋으나 결국 혈연지연으로 저승벼슬 다 헤쳐먹는 헬조선식 스토리 ㅡㅡ ,0401****,21.05.19
신과함께-인과 연,10,엄마생각 너무 많이 났고 너무 슬퍼요 정멀로 볼때마다 웁니다 ,4564****,21.05.19
신과함께-인과 연,3,"한 편의 시나리오를 트리트먼트로 요약하는 것과 트리트먼트를 한 편의 시나리오로 늘리는 것은 큰 차이가 있다. 억지로 채워넣은 에피소드들, 스토리를 이어가기 위한 인위적인 대사들. 애초부터 시나리오 자체가 치밀하게 구성되지 못했기에 스토리 진행이 뚝,뚝 끊어진다. 오로지 '기,승,전,결'만이 존재한 시나리오에 각 점(이벤트)을 잇는 전반적 설정이 너무도 부실하다. ",skct****,21.05.19
신과함께-인과 연,10,그냥..연기에 치이는 느낌 좋았음 ,0604****,21.05.12
